2025-08-22,Breakfast,Poha,1 plate,280
2025-08-22,Snack,Orange,1 medium,60
2025-08-22,Lunch,Paneer Curry + Rice,1 plate,550
2025-08-22,Snack,Green Tea + Nuts,1 cup + 20g,140
2025-08-22,Dinner,Roti + Dal,3 roti + 1 cup dal,400
2025-08-22,Late Snack,Yogurt,1 cup,120

2025-08-23,Breakfast,Upma,1 plate,300
2025-08-23,Snack,Apple,1 medium,95
2025-08-23,Lunch,Chicken Biryani,1 plate,650
2025-08-23,Snack,Coffee + Biscuit,1 cup + 2 pcs,160
2025-08-23,Dinner,Dosa + Sambar,2 dosa + 1 cup,420
2025-08-23,Late Snack,Milk,1 glass,150

2025-08-24,Breakfast,Bread + Butter,3 slices,320
2025-08-24,Snack,Banana,1 medium,105
2025-08-24,Lunch,Fish Curry + Rice,1 plate,600
2025-08-24,Snack,Tea + Pakora,1 cup + 3 pcs,220
2025-08-24,Dinner,Chapati + Veg Curry,3 chapati + 1 cup,430
2025-08-24,Late Snack,Buttermilk,1 glass,80

2025-08-25,Breakfast,Idli + Chutney,3 idlis + chutney,280
2025-08-25,Snack,Guava,1 medium,70
2025-08-25,Lunch,Rajma Chawal,1 plate,550
2025-08-25,Snack,Coconut Water,1 glass,50
2025-08-25,Dinner,Pulao + Raita,1 plate,480
2025-08-25,Late Snack,Nuts,1 handful,160

2025-08-26,Breakfast,Dhokla,1 plate,250
2025-08-26,Snack,Pear,1 medium,100
2025-08-26,Lunch,Egg Curry + Rice,1 plate,580
2025-08-26,Snack,Tea + Biscuit,1 cup + 2 pcs,150
2025-08-26,Dinner,Chapati + Dal,3 chapati + 1 cup,400
2025-08-26,Late Snack,Fruit Salad,1 bowl,180

2025-08-27,Breakfast,Paratha + Curd,2 paratha + 1 cup,420
2025-08-27,Snack,Mango,1 medium,120
2025-08-27,Lunch,Chicken Curry + Rice,1 plate,650
2025-08-27,Snack,Green Tea + Nuts,1 cup + 20g,140
2025-08-27,Dinner,Poori + Bhaji,3 poori + 1 cup,500
2025-08-27,Late Snack,Milk,1 glass,150

2025-08-28,Breakfast,Oats with Fruits,1 bowl,300
2025-08-28,Snack,Apple,1 medium,95
2025-08-28,Lunch,Paneer Butter Masala + Naan,2 naan + curry,700
2025-08-28,Snack,Samosa + Tea,1 pc + 1 cup,250
2025-08-28,Dinner,Fried Rice + Manchurian,1 plate,600
2025-08-28,Late Snack,Buttermilk,1 glass,80